,title
0,"Профессор в университете задал своим студентам такой вопрос.
 — Всё, что существует, создано Богом?
 Один студент смело ответил:
 — Да, создано Богом.
 — Бог создал всё? — спросил профессор.
 — Да, сэр, — ответил студент.
 Профессор спросил:
 — Если Бог создал всё, значит, Бог создал зло, раз оно существует. И согласно тому принципу, что наши дела определяют нас самих, значит, Бог есть зло.
 Студент притих, услышав такой ответ. Профессор был очень доволен собой. Он похвалился студентам, что он ещё раз доказал, что Бог — это миф.
 Ещё один студент поднял руку и сказал:
 — Если Бог миф, то тогда кто я?
Профессор ответил: 
— Есьле Бох мифь, тё тагдя ктё йа?"
1,"Когда они хватали коммунистов, я молчал: я не был коммунистом.
Когда они сажали социал-демократов, я молчал: я не был социал-демократом.
Когда они хватали членов профсоюза, я молчал: я не был членом профсоюза.
Когда схватили ключи, я смутился: причём здесь ключи нахуй?"
2,"Отец работает в Укладе. Сегодня срочно отправился в Термитник. Вернулся поздно и ничего не объяснил. Сказал лишь собирать вещи и бежать в кабак за твирином. Сейчас едем куда-то далеко за Город. Не знаю, что происходит, но мне кажется, началось..."
3,"Почему Принц Чарльз ездит в лондонском метро и облизывает поручни? 

Это его единственный шанс умереть коронованным."
4,"Master в dungeon задал своим fucking slaves такой вопрос:
— Всё, что do anal, создано boss of this gym?
Один slave смело ответил:
— Да, создано boss.
— Boss fisting всё? — спросил master.
— Да, сэр — ответил slave.
Master спросил:
— Если boss do fisting всё, значит boss создал semen, раз оно существует. И согласно тому принципу, что наши 300$ определяют нас самих, значит boss есть semen.
Slaves fucking cumming, услышав такой ответ. 
Master был очень доволен собой. Он похвалился slaves, что он ещё раз доказал who's boss of this gym.
Ещё один slave поднял dick и сказал:
— Fok you
Этим slave был Ван Даркхолм"
5,"Идет концерт рок-группы. Солист забыл слова следующего куплета - подбегает к басисту и спрашивает: 
- ""Васек, как дальше?"" - в ответ ""Да отвали, у меня сложный кусок!!!"". 
Он подбегает к гитаристу, спрашивает. Тот: 
- ""Уйди, у меня соло!"". Подбегает к клавишнику - то же. Тогда он подбегает к барабанщику и говорит: 
- ""Колян, ну ты хоть скажи, как дальше слова?"". Колян, усердно долбя в барабаны, орет: 
- ""А в какой песне???"
6,"как называется магазин для моряков-геев?
DickSea"
7,
8,"Феминистка интересуется у сосед_ессы: 
- Сестр_уня! Я слышала, ты читаешь паблик МГ!
- Ну да, читаю.
 - Как же ты можешь! Ты же женщин_есса!
- А очень просто. Сначала я читала ""Феминизм: наглядно"" .Там такая депрессия, скажу я вам! Все хотят женщин изничтожить, кругом мужской шовинизм, притеснения, проблемы, все плачут... Я буквально спать не мог_ла! А теперь я читаю Позднякова — и что вы думаете? Сплошной позитив! Фемоиды правят миром, они всё захватили, они самые богатые, они везде всё решают!"
9,"Поехал мужик в Австрию, его спрашивают:
— Зачем ты поехал в Австрию?
— На кенгуру посмотреть
— Но ведь в Австрии нет кенгуру
— А я со своим"
10,
11,Бухгалтерия приняла закон об обнулении зарплаты Пупы
12,"Петр Гланц выпивает в одиночестве и самому себе жалуется на жизнь:
- Когда-то я озвучил Дедпула в фильме Марвел, но никто никогда не называл меня Петр Гланц — голос Дедпула.
Отпил из бокала:
- Однажды я озвучивал главного героя в Готике 2, игре, в которую столь многие играли в детстве, но никто никогда не называл меня Петр Гланц - голос Безымянного
Еще раз отпил:
- Я работал над десятками игр в Фаргусе, и озвучку этих игр тогда считали самой качественной на рынке, но никто никогда не называл меня Петр Гланц — голос Фаргуса
Медленно ставит стакан на стол:
- Но, стоило мне один раз озвучить священника..."
13,"Девочки😇, зачем ходить в маске🤔? Если у вас 👑 корона 👑, значит вы принцессы💃."
14,"У меня была девушка — азиатка, но я быстро ей переболел."
15,"Мужчина и сын открыли свой бизнес по продаже ёлок. Вскоре мужчина начал замечать что пропадают самые красивые ели, деньги за них в кассу не приходят. 
 Тогда мужчина решил проверить своего сына. Проследив за ним и обыскав его одежду, он понял—его сын наркоман. Тогда отец решил провести серьезный разговор со своим чадом:
— Что такое, сынок?Почему ты подсел на наркотики?
— Ну ёлки-иголки. Я ассоциативно хорошо развит."
