,title
0,"Хоть и говорят, что Сибирь всю изгадили и загубили, а все же есть там такие места, что не ступала нога человека. Целый день от деревни до деревни можно ехать через сплошную тайгу и от дороги лучше не уходить, можно и совсем пропасть. Вот многие сомневаются, есть ли на свете всякие колдуны и ведьмы, ну, и многое такое, о чем в книжках пишут – пришельцы там, оборотни, вурдалаки. В Сибири им бы пожить, в глубинке, поговорить с людьми и самим понаблюдать. Там насмотришься и наслушаешься, волосы дыбом встанут."
1,"Вот, например, рассказ жителя одной деревеньки о снеговой бабе."
2,"«Зимой по тайге шел, солнце, ветра нет. И вдруг над снегом начинает как маленький смерч подниматься. Поднимается, растет и воет. Сначала тихонько, вроде плачет, а потом громче и громче. И весь этот крутящийся снег постепенно превращается в огромную женщину. Она уже не плачет, а хохочет с завываниями. Я знал, что пока она не двинулась на тебя, нужно просто стоять неподвижно и смотреть. Обязательно смотреть, отворачиваться и глаза закрывать нельзя, тогда она вообще такая сильная станет, что не спасешься. А от человеческого взгляда она не может в полную силу войти. Когда она начинает двигаться, лучше упасть на снег крестом, руки раскинув, прижаться изо всех сил и молиться Николаю-угоднику. Она станет от земли отрывать, но не сможет, и тогда рассыплется над тобой огромным сугробом. Ну, из-под сугроба-то выбраться можно. Я так и сделал, меня баба чуть не приподняла, хорошо, молился, не переставая, все же сил ей не хватило. А хуже всего бежать, тогда она обязательно настигнет и размозжит о камень или дерево, ни одной косточки целой не оставит. У нас так в 1958г. два геолога погибли, их учили, что делать, да они же ученые, без предрассудков. Хотели напоследок по тайге погулять, вот и погуляли, на них страшно смотреть было, как мешки с дробленными костями.»"
3,"А еще зимой можно встретить колдовское зеркало. Это обязательно должно быть дерево со стволом, расходящимся рогаткой, раздвоенным. На нем и висит зеркало, большое, в рост человека, овальное, только не стеклянное, а ледяное, но все отражает, как настоящее. Как висит -непонятно, ни цепей, ни веревок нет, просто оно между рогульками помещается, сейчас бы сказали – в силовом поле. К нему подойти очень трудно, становится так страшно, что человек не выдерживает, бежит или сознание теряет. А шаман подойти может, в этом зеркале он все что захочет увидит, и прошлое, и будущее любого человека. И через это зеркало на него воздействовать."
4,"В одной семье два брата было, Андрей и Алексей, погодки, но похожи как близняшки. Очень друг друга любили, прямо неразлучники. Вот они с этим зеркалом и встретились. Эту историю прямо всей семьей рассказывали, они без слез вспоминать о братьях не могут.
"
5,1. Аскорбинки. Выдави таблеток 50 в полиэтиленовый пакет.
6,2. Шприцы. Очень пригодятся для многих мелочей.
7,3. Резиновые жгуты. Пережимать белье и т.д.
8,4. Ложка алюминевая. Только не забудь сразу изогнуть ложку как тебе удобно.
9,5. 1-2 бутылки водки. Хорошая дезинцекция.
10,6. Квас. Только содри этикетку.
11,"7. Сигареты без фильтра. Что бы не высыпался табак - намочи концы и закрути их, как кончики кулька."
12,"9. Презервативы. Очень полезно. Можно спрятать в них спички, патроны. И прапор никогда надает тебе за промокший порох."
